ID_notice,Titre_propre_x,Titre_collection_x,Titre_programme,Chaine,Date_de_diffusion,Jour,Statut_de_diffusion,Heure_de_diffusion,Heure_de_fin_de_diffusion,Duree,Genre,Generique,Descripteurs,Chapeau,Societe_de_programmes,Producteurs,Extension_geographique,Fonds,Titre_materiel,Titre_propre_y,Titre_collection_y,Date de diffusion,Image,Personnalité,Événement,Lieu,Illustration
4868800001021,[20 ans après : libre circulation en Europe],20 heures,20 heures : [émission du 01 janvier 2013],France 2,01/01/2013,mardi,Première diffusion,20:18:36,20:20:57,00:02:21:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Desbonnets Laurent ; PAR,Roegiers Patrick",Union européenne ; Marché unique européen ; accord international (Schengen) ; frontière (libre circulation),"Reportage consacré aux 20 ans de l'entrée en vigueur du Marché unique, c'est à dire de la libre circulation des personnes et des biens au sein de l'Union européenne, liberté renforcée en 1995 avec l'espace Schengen. ",France 2,"Producteur, Paris : France 2, 2013",National,France 2 Actualités,[Journée de captation FR2 du 01 janvier 2013],[20 ans après : libre circulation en Europe],20 heures, 01/01/2013,010113_20ansaprèslibrecirculationenEurope_20h_FR2,Valery Giscard d Estaing,Schengen Agreement,Europe,"Border police, Border control, Internal border"
4868800001021,[20 ans après : libre circulation en Europe],20 heures,20 heures : [émission du 01 janvier 2013],France 2,01/01/2013,mardi,Première diffusion,20:18:36,20:20:57,00:02:21:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Desbonnets Laurent ; PAR,Roegiers Patrick",Union européenne ; Marché unique européen ; accord international (Schengen) ; frontière (libre circulation),"Reportage consacré aux 20 ans de l'entrée en vigueur du Marché unique, c'est à dire de la libre circulation des personnes et des biens au sein de l'Union européenne, liberté renforcée en 1995 avec l'espace Schengen. ",France 2,"Producteur, Paris : France 2, 2013",National,France 2 Actualités,[Journée de captation FR2 du 01 janvier 2013],[20 ans après : libre circulation en Europe],20 heures, 01/01/2013,010113_20ansaprèslibrecirculationenEurope_20h_FR2_1,Valery Giscard d Estaing,Schengen Agreement,Europe,"Border police, Border control, Internal border"
4868800001021,[20 ans après : libre circulation en Europe],20 heures,20 heures : [émission du 01 janvier 2013],France 2,01/01/2013,mardi,Première diffusion,20:18:36,20:20:57,00:02:21:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Desbonnets Laurent ; PAR,Roegiers Patrick",Union européenne ; Marché unique européen ; accord international (Schengen) ; frontière (libre circulation),"Reportage consacré aux 20 ans de l'entrée en vigueur du Marché unique, c'est à dire de la libre circulation des personnes et des biens au sein de l'Union européenne, liberté renforcée en 1995 avec l'espace Schengen. ",France 2,"Producteur, Paris : France 2, 2013",National,France 2 Actualités,[Journée de captation FR2 du 01 janvier 2013],[20 ans après : libre circulation en Europe],20 heures, 01/01/2013,010113_20ansaprèslibrecirculationenEurope_20h_FR2_2,Valery Giscard d Estaing,Schengen Agreement,Europe,"Border police, Border control, Internal border"
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2,"Angela Merkel, Helmut Kohl",Grexit,Berlin,Meeting
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2_1,"Francois Mitterrand, Helmut Kohl",Commemoration World War I,Verdun,Hand in hand
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2_2,Angela Merkel,Grexit,Germany,BW
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2_3,Angela Merkel,Anniversary Fall of the Berlin Wall,Berlin,"Ceremony, Berlin Wall"
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2_4,Angela Merkel,World War II,Greece,"Military operation, BW"
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2_5,Angela Merkel,Grexit,Greece,Demonstration
5530139001010,[Angela Merkel ne veut pas d'un Grexit],20 heures,20 heures : [émission du 07 juillet 2015],France 2,07/07/2015,mardi,Première diffusion,20:06:44,20:08:03,00:01:19:00,Journal télévisé ; Reportage ; Journal télévisé,"JOU,Soula Samah",Grèce ; Union européenne ; crise économique ; relations économiques ; négociation ; dette ; plan économique (plan d'aide) ; Merkel Angela,"Reportage. Deux jours après le non grec à l'austérité imposée par l'Union européenne, l'Europe est divisée sur l'avenir de la Grèce. Contrairement à l'opinion allemande, la chancelière Angela Merkel ne souhaite pas une sortie de la Grèce de la zone euro. Le point sur les raisons de cette position. Commentaires sur des images d'archives.",France 2,"Producteur, Paris : France 2, 2015",National,France 2 Actualités,[Journée de captation FR2 du 07 juillet 2015],[ Angela Merkel ne veut pas d'un Grexit ],20 heures,2015-07-07 00:00:00,070715_AngelaMerkelNeVeutPasDunGrexit_20h_FR2_6,Angela Merkel,Grexit,Europe,Meeting
